event_id,event_type,severity,severity_label,source,detections,timestamp,event_date,hour_utc,mitre_tactic,mitre_technique,attack_stage,target_system,organization_unit,origin_country,origin_lat,origin_lon,target_country,target_lat,target_lon,geo_risk_factor,risk_score,anomaly_flag
CTE-000052,ransomware,9,Critical,endpoint,6,2025-10-18T21:55:00Z,2025-10-18,21,Impact,T1486 - Data Encrypted for Impact,Data Encryption,File Server,Operations,Russia,61.524,105.3188,India,20.5937,78.9629,1.28,68.87,True
CTE-000061,phishing,4,Medium,email,1,2025-10-19T05:51:00Z,2025-10-19,5,Initial Access,T1566 - Phishing,Credential Harvesting,SSO Portal,Engineering,United States,37.0902,-95.7129,India,20.5937,78.9629,1.05,35.61,False
CTE-000063,bruteforce,9,Critical,endpoint,5,2025-10-19T08:47:00Z,2025-10-19,8,Credential Access,T1110 - Brute Force,Account Takeover Attempt,VPN Gateway,Support,Brazil,-14.235,-51.9253,Singapore,1.3521,103.8198,1.16,75.6,True
CTE-000065,malware,6,Medium,endpoint,4,2025-10-19T10:05:00Z,2025-10-19,10,Execution,T1059 - Command and Scripting Interpreter,Payload Execution,Workstation,Sales,India,20.5937,78.9629,India,20.5937,78.9629,1.1,50.98,False
CTE-000064,malware,5,Medium,endpoint,2,2025-10-19T12:06:00Z,2025-10-19,12,Execution,T1059 - Command and Scripting Interpreter,Payload Execution,Application Server,Operations,China,35.8617,104.1954,Australia,-25.2744,133.7751,1.2,47.72,False
CTE-000060,bruteforce,5,Medium,auth,5,2025-10-19T15:37:00Z,2025-10-19,15,Credential Access,T1110 - Brute Force,Account Takeover Attempt,Identity Provider,Support,India,20.5937,78.9629,United States,37.0902,-95.7129,1.1,46.25,False
CTE-000059,malware,7,High,endpoint,3,2025-10-19T16:11:00Z,2025-10-19,16,Execution,T1059 - Command and Scripting Interpreter,Payload Execution,Workstation,Support,Brazil,-14.235,-51.9253,India,20.5937,78.9629,1.16,51.57,False
CTE-000062,malware,3,Low,endpoint,1,2025-10-19T20:10:00Z,2025-10-19,20,Execution,T1059 - Command and Scripting Interpreter,Payload Execution,Shared Endpoint,Support,India,20.5937,78.9629,Germany,51.1657,10.4515,1.1,36.53,False
CTE-000066,malware,10,Critical,endpoint,7,2025-10-19T23:38:00Z,2025-10-19,23,Execution,T1059 - Command and Scripting Interpreter,Payload Execution,Shared Endpoint,Support,United Kingdom,55.3781,-3.436,Singapore,1.3521,103.8198,1.04,86.93,True
CTE-000068,ransomware,7,High,endpoint,4,2025-10-20T06:55:00Z,2025-10-20,6,Impact,T1486 - Data Encrypted for Impact,Data Encryption,Backup Repository,Executive,Germany,51.1657,10.4515,United States,37.0902,-95.7129,1.03,66.81,False
CTE-000073,phishing,6,Medium,email,3,2025-10-20T10:47:00Z,2025-10-20,10,Initial Access,T1566 - Phishing,Credential Harvesting,SSO Portal,Engineering,Germany,51.1657,10.4515,United Arab Emirates,23.4241,53.8478,1.03,47.69,False
CTE-000075,phishing,5,Medium,email,4,2025-10-20T10:52:00Z,2025-10-20,10,Initial Access,T1566 - Phishing,Credential Harvesting,Employee Mailbox,Operations,Russia,61.524,105.3188,United Arab Emirates,23.4241,53.8478,1.28,52.81,False
CTE-000069,phishing,7,High,email,1,2025-10-20T11:09:00Z,2025-10-20,11,Initial Access,T1566 - Phishing,Credential Harvesting,Mail Gateway,Engineering,Germany,51.1657,10.4515,Australia,-25.2744,133.7751,1.03,54.75,False
CTE-000074,phishing,2,Low,email,2,2025-10-20T11:53:00Z,2025-10-20,11,Initial Access,T1566 - Phishing,Credential Harvesting,SSO Portal,Finance,China,35.8617,104.1954,India,20.5937,78.9629,1.2,30.86,False
CTE-000076,ddos,6,Medium,network,5,2025-10-20T12:58:00Z,2025-10-20,12,Impact,T1498 - Network Denial of Service,Service Disruption,Public API,Operations,Brazil,-14.235,-51.9253,Singapore,1.3521,103.8198,1.16,59.09,False
CTE-000070,malware,9,Critical,endpoint,3,2025-10-20T15:46:00Z,2025-10-20,15,Execution,T1059 - Command and Scripting Interpreter,Payload Execution,Shared Endpoint,Finance,South Africa,-30.5595,22.9375,Singapore,1.3521,103.8198,1.18,70.47,False
CTE-000072,ddos,4,Medium,network,6,2025-10-20T18:42:00Z,2025-10-20,18,Impact,T1498 - Network Denial of Service,Service Disruption,CDN Edge,Operations,China,35.8617,104.1954,Germany,51.1657,10.4515,1.2,50.07,False
CTE-000067,phishing,1,Low,email,1,2025-10-20T20:48:00Z,2025-10-20,20,Initial Access,T1566 - Phishing,Credential Harvesting,Mail Gateway,Sales,Brazil,-14.235,-51.9253,United Arab Emirates,23.4241,53.8478,1.16,28.68,False
CTE-000071,malware,3,Low,endpoint,1,2025-10-20T22:50:00Z,2025-10-20,22,Execution,T1059 - Command and Scripting Interpreter,Payload Execution,Application Server,Support,United States,37.0902,-95.7129,India,20.5937,78.9629,1.05,33.8,False
CTE-000077,malware,8,High,endpoint,6,2025-10-21T01:27:00Z,2025-10-21,1,Execution,T1059 - Command and Scripting Interpreter,Payload Execution,Application Server,Engineering,United Arab Emirates,23.4241,53.8478,United Kingdom,55.3781,-3.436,1.12,66.0,False
CTE-000081,phishing,4,Medium,endpoint,1,2025-10-21T02:41:00Z,2025-10-21,2,Initial Access,T1566 - Phishing,Credential Harvesting,Employee Mailbox,Support,China,35.8617,104.1954,United States,37.0902,-95.7129,1.2,38.24,False
CTE-000078,malware,6,Medium,endpoint,2,2025-10-21T04:06:00Z,2025-10-21,4,Execution,T1059 - Command and Scripting Interpreter,Payload Execution,Application Server,Engineering,Russia,61.524,105.3188,Germany,51.1657,10.4515,1.28,56.92,False
CTE-000084,malware,10,Critical,endpoint,7,2025-10-21T04:31:00Z,2025-10-21,4,Execution,T1059 - Command and Scripting Interpreter,Payload Execution,Workstation,Engineering,India,20.5937,78.9629,United Kingdom,55.3781,-3.436,1.1,67.45,True
CTE-000082,malware,6,Medium,endpoint,3,2025-10-21T18:44:00Z,2025-10-21,18,Execution,T1059 - Command and Scripting Interpreter,Payload Execution,Workstation,Finance,United States,37.0902,-95.7129,India,20.5937,78.9629,1.05,49.47,False
CTE-000087,ddos,7,High,endpoint,2,2025-10-21T20:17:00Z,2025-10-21,20,Impact,T1498 - Network Denial of Service,Service Disruption,CDN Edge,Engineering,India,20.5937,78.9629,United States,37.0902,-95.7129,1.1,60.3,False
CTE-000085,malware,8,High,endpoint,5,2025-10-21T20:28:00Z,2025-10-21,20,Execution,T1059 - Command and Scripting Interpreter,Payload Execution,Shared Endpoint,Engineering,United Kingdom,55.3781,-3.436,United States,37.0902,-95.7129,1.04,66.35,False
CTE-000080,ddos,5,Medium,email,3,2025-10-21T21:32:00Z,2025-10-21,21,Impact,T1498 - Network Denial of Service,Service Disruption,CDN Edge,Engineering,Russia,61.524,105.3188,United States,37.0902,-95.7129,1.28,47.18,False
CTE-000083,phishing,5,Medium,email,3,2025-10-21T22:19:00Z,2025-10-21,22,Initial Access,T1566 - Phishing,Credential Harvesting,SSO Portal,Finance,United States,37.0902,-95.7129,Australia,-25.2744,133.7751,1.05,40.21,False
CTE-000079,malware,7,High,auth,3,2025-10-21T23:02:00Z,2025-10-21,23,Execution,T1059 - Command and Scripting Interpreter,Payload Execution,Workstation,Operations,China,35.8617,104.1954,India,20.5937,78.9629,1.2,56.44,False
CTE-000086,phishing,6,Medium,email,3,2025-10-21T23:37:00Z,2025-10-21,23,Initial Access,T1566 - Phishing,Credential Harvesting,SSO Portal,Finance,India,20.5937,78.9629,United States,37.0902,-95.7129,1.1,48.3,False
CTE-000088,bruteforce,7,High,auth,3,2025-10-22T03:01:00Z,2025-10-22,3,Credential Access,T1110 - Brute Force,Account Takeover Attempt,VPN Gateway,Engineering,Singapore,1.3521,103.8198,India,20.5937,78.9629,1.08,49.01,False
CTE-000093,malware,5,Medium,endpoint,1,2025-10-22T03:35:00Z,2025-10-22,3,Execution,T1059 - Command and Scripting Interpreter,Payload Execution,Application Server,Sales,United States,37.0902,-95.7129,Australia,-25.2744,133.7751,1.05,41.86,False
CTE-000092,phishing,4,Medium,email,1,2025-10-22T12:20:00Z,2025-10-22,12,Initial Access,T1566 - Phishing,Credential Harvesting,Employee Mailbox,Executive,Singapore,1.3521,103.8198,United States,37.0902,-95.7129,1.08,39.68,False
CTE-000094,phishing,7,High,email,1,2025-10-22T12:24:00Z,2025-10-22,12,Initial Access,T1566 - Phishing,Credential Harvesting,Employee Mailbox,Operations,Singapore,1.3521,103.8198,United Kingdom,55.3781,-3.436,1.08,54.68,False
CTE-000090,malware,7,High,endpoint,4,2025-10-22T14:16:00Z,2025-10-22,14,Execution,T1059 - Command and Scripting Interpreter,Payload Execution,Application Server,Engineering,China,35.8617,104.1954,Australia,-25.2744,133.7751,1.2,55.07,False
CTE-000091,bruteforce,8,High,auth,4,2025-10-22T14:39:00Z,2025-10-22,14,Credential Access,T1110 - Brute Force,Account Takeover Attempt,Privileged Console,Finance,United Kingdom,55.3781,-3.436,United Arab Emirates,23.4241,53.8478,1.04,61.12,False
CTE-000095,malware,7,High,endpoint,1,2025-10-22T19:19:00Z,2025-10-22,19,Execution,T1059 - Command and Scripting Interpreter,Payload Execution,Shared Endpoint,Engineering,South Africa,-30.5595,22.9375,United States,37.0902,-95.7129,1.18,49.91,False
CTE-000089,phishing,5,Medium,email,2,2025-10-22T23:50:00Z,2025-10-22,23,Initial Access,T1566 - Phishing,Credential Harvesting,Employee Mailbox,Operations,Brazil,-14.235,-51.9253,India,20.5937,78.9629,1.16,39.3,False
CTE-000104,malware,7,High,endpoint,4,2025-10-23T00:04:00Z,2025-10-23,0,Execution,T1059 - Command and Scripting Interpreter,Payload Execution,Shared Endpoint,Engineering,Brazil,-14.235,-51.9253,United States,37.0902,-95.7129,1.16,59.21,False
CTE-000105,malware,8,High,endpoint,5,2025-10-23T02:08:00Z,2025-10-23,2,Execution,T1059 - Command and Scripting Interpreter,Payload Execution,Application Server,Operations,Germany,51.1657,10.4515,India,20.5937,78.9629,1.03,65.46,False
CTE-000106,phishing,3,Low,email,2,2025-10-23T02:51:00Z,2025-10-23,2,Initial Access,T1566 - Phishing,Credential Harvesting,Employee Mailbox,Finance,Brazil,-14.235,-51.9253,United States,37.0902,-95.7129,1.16,35.14,False
CTE-000097,malware,9,Critical,endpoint,3,2025-10-23T03:08:00Z,2025-10-23,3,Execution,T1059 - Command and Scripting Interpreter,Payload Execution,Application Server,Operations,Russia,61.524,105.3188,Singapore,1.3521,103.8198,1.28,72.39,False
CTE-000103,phishing,2,Low,email,2,2025-10-23T03:13:00Z,2025-10-23,3,Initial Access,T1566 - Phishing,Credential Harvesting,SSO Portal,Operations,Singapore,1.3521,103.8198,United States,37.0902,-95.7129,1.08,31.69,False
CTE-000102,phishing,4,Medium,email,5,2025-10-23T05:35:00Z,2025-10-23,5,Initial Access,T1566 - Phishing,Credential Harvesting,SSO Portal,Finance,United States,37.0902,-95.7129,India,20.5937,78.9629,1.05,50.51,False
CTE-000098,ddos,6,Medium,network,4,2025-10-23T06:40:00Z,2025-10-23,6,Impact,T1498 - Network Denial of Service,Service Disruption,Perimeter Gateway,Engineering,Russia,61.524,105.3188,United States,37.0902,-95.7129,1.28,62.99,False
CTE-000100,ransomware,9,Critical,network,3,2025-10-23T10:12:00Z,2025-10-23,10,Impact,T1486 - Data Encrypted for Impact,Data Encryption,Database Cluster,Finance,Germany,51.1657,10.4515,Germany,51.1657,10.4515,1.03,66.96,False
CTE-000101,malware,9,Critical,endpoint,2,2025-10-23T12:34:00Z,2025-10-23,12,Execution,T1059 - Command and Scripting Interpreter,Payload Execution,Shared Endpoint,Support,China,35.8617,104.1954,United States,37.0902,-95.7129,1.2,61.61,False
CTE-000096,phishing,4,Medium,email,1,2025-10-23T13:56:00Z,2025-10-23,13,Initial Access,T1566 - Phishing,Credential Harvesting,SSO Portal,Finance,India,20.5937,78.9629,United States,37.0902,-95.7129,1.1,36.87,False
CTE-000099,malware,9,Critical,endpoint,5,2025-10-23T15:39:00Z,2025-10-23,15,Execution,T1059 - Command and Scripting Interpreter,Payload Execution,Application Server,Executive,South Africa,-30.5595,22.9375,Australia,-25.2744,133.7751,1.18,78.48,True
CTE-000115,phishing,4,Medium,email,1,2025-10-24T03:06:00Z,2025-10-24,3,Initial Access,T1566 - Phishing,Credential Harvesting,SSO Portal,Engineering,India,20.5937,78.9629,Germany,51.1657,10.4515,1.1,39.97,False
CTE-000111,malware,10,Critical,endpoint,3,2025-10-24T06:57:00Z,2025-10-24,6,Execution,T1059 - Command and Scripting Interpreter,Payload Execution,Shared Endpoint,Sales,United Arab Emirates,23.4241,53.8478,United Arab Emirates,23.4241,53.8478,1.12,69.81,False
CTE-000114,ransomware,10,Critical,auth,5,2025-10-24T07:50:00Z,2025-10-24,7,Impact,T1486 - Data Encrypted for Impact,Data Encryption,Database Cluster,Operations,United Kingdom,55.3781,-3.436,India,20.5937,78.9629,1.04,77.82,True
CTE-000112,malware,7,High,endpoint,3,2025-10-24T09:27:00Z,2025-10-24,9,Execution,T1059 - Command and Scripting Interpreter,Payload Execution,Application Server,Support,India,20.5937,78.9629,Singapore,1.3521,103.8198,1.1,56.45,False
CTE-000113,malware,6,Medium,endpoint,2,2025-10-24T11:08:00Z,2025-10-24,11,Execution,T1059 - Command and Scripting Interpreter,Payload Execution,Application Server,Sales,Russia,61.524,105.3188,India,20.5937,78.9629,1.28,53.03,False
CTE-000110,malware,10,Critical,endpoint,3,2025-10-24T15:47:00Z,2025-10-24,15,Execution,T1059 - Command and Scripting Interpreter,Payload Execution,Application Server,Finance,Brazil,-14.235,-51.9253,United Arab Emirates,23.4241,53.8478,1.16,66.52,False
